DATE,YEAR,TYPE,COUNTRY,AREA,LOCATION,ACTIVITY,INJURY,FATAL (Y/N),SPECIES ,MONTH,ACTIVITY_TYPE,SPECIES
25-Sep-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,Gracetown,surfing,"No injury, board damaged by shark",N,"White shark, 3.5 m",Sep,Surfing,white shark
24-Sep-2017,2017.0,Invalid,USA,New York,Rockaway,surfing,"Lacerations to right ankle, foot & toe",UNKNOWN,Questionable,Sep,Surfing,questionable
24-Sep-2017,2017.0,Unprovoked,USA,Florida,Fort Worth,surfing,Laceration to upper arm,N,4' to 5' shark,Sep,Surfing,4' to 5' shark
20-Sep-2017,2017.0,Unprovoked,USA,Florida,Palm Beach County,surfing,Minor lacerations to sole of left foot,N,,Sep,Surfing,unknown
-Sep-2017,2017.0,Unprovoked,SPAIN,Canary Islands,Gran Canaria ,body surfing,Lacerations to right foot,N,"Porbeagle, 1.5 m",Sep,Surfing,"porbeagle, 1.5 m"
-Sep-2017,2017.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,Lacerations to left foot,N,,Sep,Surfing,unknown
5-Sep-2017,2017.0,Invalid,SOUTH AFRICA,Western Cape Province,Hawston,scuba diving,"FATAL, but death was probably due to drowning",UNKNOWN,,Sep,Diving,unknown
5-Sep-2017,2017.0,Unknown,SAMOA, Upolu Island,Nofoali�i,fishing,Injuries to hands and legs,N,,Sep,Fishing,unknown
Sep-2017,2017.0,Boating,AUSTRALIA,Westerm Australia,Esperance,fishing,"sharks rammed boats, no injury to occupants",N,"White shark, 3.5m",Sep,Fishing,white shark
3-Sep-2017,2017.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,Lacerations to left foot,N,5' to 6' shark,Sep,Surfing,5' to 6' shark
-Sep-2017,2017.0,Unprovoked,AUSTRALIA,Westerm Australia,Sam's Creek area,swimming,Minor injuries,N,,Sep,Swiming,unknown
-Sep-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,Iluka Beach,surfing,Minor lacerations to right hip,N,"White shark, 3 to 3.5m ",Sep,Surfing,white shark
